v362_id;region;cadena_productiva;tipo_empresa;herramientas_diferenciacion;color_herramientas_diferenciacion
30;Arica;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
72;Arica;Servicios creativos;Empresa;Registro de propiedad intelectual;#544c7c
97;Arica;Experiencias creativas;Empresa;Registro de propiedad intelectual;#544c7c
54;Antofagasta;Servicios creativos;Profesional indep.;Gestión de precios de contenidos creativos;#62cca5
73;Antofagasta;Experiencias creativas;Empresa;Ninguna de las anteriores;#737daa
138;Atacama;Bienes creativos;Empresa;Registro de propiedad intelectual;#544c7c
138;Atacama;Bienes creativos;Empresa;Licenciamiento;#9a7cbb
138;Atacama;Bienes creativos;Empresa;Franquicias;#705abb
8;Valparaíso;Bienes creativos;Empresa;Ninguna de las anteriores;#737daa
11;Valparaíso;Servicios creativos;Empresa;Ninguna de las anteriores;#737daa
12;Valparaíso;Contenidos creativos;Empresa;Registro de propiedad intelectual;#544c7c
12;Valparaíso;Contenidos creativos;Empresa;Licenciamiento;#9a7cbb
20;Valparaíso;Servicios creativos;Empresa;Registro de propiedad intelectual;#544c7c
20;Valparaíso;Servicios creativos;Empresa;Licenciamiento;#9a7cbb
20;Valparaíso;Servicios creativos;Empresa;Franquicias;#705abb
21;Valparaíso;Servicios creativos;Empresa;Ninguna de las anteriores;#737daa
32;Valparaíso;Experiencias creativas;Profesional indep.;Registro de propiedad intelectual;#544c7c
32;Valparaíso;Experiencias creativas;Profesional indep.;Gestión de precios de contenidos creativos;#62cca5
52;Valparaíso;Experiencias creativas;Empresa;Franquicias;#705abb
52;Valparaíso;Experiencias creativas;Empresa;Gestión de precios de contenidos creativos;#62cca5
53;Valparaíso;Servicios creativos;Empresa;Licenciamiento;#9a7cbb
68;Valparaíso;Contenidos creativos;Profesional indep.;Ninguna de las anteriores;#737daa
69;Valparaíso;Bienes creativos;Profesional indep.;Ninguna de las anteriores;#737daa
71;Valparaíso;Servicios creativos;Empresa;Ninguna de las anteriores;#737daa
