v362_id;region;cadena_productiva;tipo_empresa;financiamiento;color_financiamiento
30;Arica;Contenidos creativos;Empresa;Agro-Tech;#544c7c
30;Arica;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
72;Arica;Servicios creativos;Empresa;Agro-Tech;#544c7c
72;Arica;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
72;Arica;Servicios creativos;Empresa;Asociaciones con otros negocios;#e4e2d4
97;Arica;Experiencias creativas;Empresa;Aportes de capital de los socios o dueños;#62cca5
97;Arica;Experiencias creativas;Empresa;Fondos públicos;#9a7cbb
97;Arica;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
73;Antofagasta;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
138;Atacama;Bienes creativos;Empresa;Asociaciones con otros negocios;#e4e2d4
138;Atacama;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
138;Atacama;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
8;Valparaíso;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
8;Valparaíso;Bienes creativos;Empresa;Instituciones bancarias;#737daa
11;Valparaíso;Servicios creativos;Empresa;Agro-Tech;#544c7c
11;Valparaíso;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
12;Valparaíso;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
12;Valparaíso;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
12;Valparaíso;Contenidos creativos;Empresa;Instituciones bancarias;#737daa
20;Valparaíso;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
21;Valparaíso;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
32;Valparaíso;Experiencias creativas;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
32;Valparaíso;Experiencias creativas;Profesional indep.;Fondos públicos;#9a7cbb
52;Valparaíso;Experiencias creativas;Empresa;Fondos públicos;#9a7cbb
52;Valparaíso;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
53;Valparaíso;Servicios creativos;Empresa;Agro-Tech;#544c7c
53;Valparaíso;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
53;Valparaíso;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
53;Valparaíso;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
68;Valparaíso;Contenidos creativos;Profesional indep.;Asociaciones con otros negocios;#e4e2d4
69;Valparaíso;Bienes creativos;Profesional indep.;Otros;#a5a29a
71;Valparaíso;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
71;Valparaíso;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
74;Valparaíso;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
84;Valparaíso;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
92;Valparaíso;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
92;Valparaíso;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
92;Valparaíso;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
103;Valparaíso;Contenidos creativos;Profesional indep.;Fondos públicos;#9a7cbb
113;Valparaíso;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
114;Valparaíso;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
117;Valparaíso;Servicios creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
120;Valparaíso;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
120;Valparaíso;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
126;Valparaíso;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
129;Valparaíso;Bienes creativos;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
131;Valparaíso;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
135;Valparaíso;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
135;Valparaíso;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
135;Valparaíso;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
3;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
3;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
5;RM;Contenidos creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
7;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
7;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
13;RM;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
13;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
14;RM;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
14;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
15;RM;Contenidos creativos;Profesional indep.;Fondos públicos;#9a7cbb
15;RM;Contenidos creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
16;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
16;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
16;RM;Contenidos creativos;Empresa;Instituciones bancarias;#737daa
17;RM;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
18;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
19;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
19;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
19;RM;Servicios creativos;Empresa;Instituciones bancarias;#737daa
24;RM;Bienes creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
25;RM;Contenidos creativos;Empresa;Agro-Tech;#544c7c
25;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
25;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
26;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
28;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
28;RM;Contenidos creativos;Empresa;Instituciones bancarias;#737daa
28;RM;Contenidos creativos;Empresa;Otros;#a5a29a
29;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
29;RM;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
29;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
33;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
33;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
36;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
36;RM;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
36;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
38;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
38;RM;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
38;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
42;RM;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
42;RM;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
42;RM;Bienes creativos;Empresa;Instituciones bancarias;#737daa
45;RM;Contenidos creativos;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
45;RM;Contenidos creativos;Profesional indep.;Fondos públicos;#9a7cbb
46;RM;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
46;RM;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
46;RM;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
47;RM;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
48;RM;Experiencias creativas;Empresa;Aportes de capital de los socios o dueños;#62cca5
48;RM;Experiencias creativas;Empresa;Fondos públicos;#9a7cbb
48;RM;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
49;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
49;RM;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
49;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
50;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
55;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
55;RM;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
56;RM;Bienes creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
56;RM;Bienes creativos;Profesional indep.;Instituciones bancarias;#737daa
58;RM;Contenidos creativos;Empresa;Agro-Tech;#544c7c
58;RM;Contenidos creativos;Empresa;Asociaciones con otros negocios;#e4e2d4
58;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
58;RM;Contenidos creativos;Empresa;Instituciones bancarias;#737daa
62;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
62;RM;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
62;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
63;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
63;RM;Contenidos creativos;Empresa;Asociaciones con otros negocios;#e4e2d4
63;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
64;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
64;RM;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
65;RM;Experiencias creativas;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
78;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
80;RM;Contenidos creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
83;RM;Bienes creativos;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
