v362_id;region;cadena_productiva;tipo_empresa;interaccion;color_interaccion
30;Arica;Contenidos creativos;Empresa;Agro-Tech;#e4e2d4
30;Arica;Contenidos creativos;Empresa;Ciencia y tecnología;#62cca5
30;Arica;Contenidos creativos;Empresa;Educación;#705abb
30;Arica;Contenidos creativos;Empresa;Energía renovable;#546c74
30;Arica;Contenidos creativos;Empresa;Innovación;#9a7cbb
72;Arica;Servicios creativos;Empresa;Agro-Tech;#e4e2d4
72;Arica;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
72;Arica;Servicios creativos;Empresa;Innovación;#9a7cbb
97;Arica;Experiencias creativas;Empresa;Educación;#705abb
97;Arica;Experiencias creativas;Empresa;Turismo;#e4e2d4
97;Arica;Experiencias creativas;Empresa;Otros;#a5a29a
73;Antofagasta;Experiencias creativas;Empresa;Educación;#705abb
138;Atacama;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
138;Atacama;Bienes creativos;Empresa;Comunicaciones;#737daa
138;Atacama;Bienes creativos;Empresa;Educación;#705abb
138;Atacama;Bienes creativos;Empresa;Innovación;#9a7cbb
138;Atacama;Bienes creativos;Empresa;Minería;#74746c
138;Atacama;Bienes creativos;Empresa;Turismo;#e4e2d4
8;Valparaíso;Bienes creativos;Empresa;Innovación;#9a7cbb
11;Valparaíso;Servicios creativos;Empresa;Agro-Tech;#e4e2d4
11;Valparaíso;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
11;Valparaíso;Servicios creativos;Empresa;Minería;#74746c
12;Valparaíso;Contenidos creativos;Empresa;Ciencia y tecnología;#62cca5
12;Valparaíso;Contenidos creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
12;Valparaíso;Contenidos creativos;Empresa;Educación;#705abb
12;Valparaíso;Contenidos creativos;Empresa;Otros;#a5a29a
12;Valparaíso;Contenidos creativos;Empresa;Innovación;#9a7cbb
12;Valparaíso;Contenidos creativos;Empresa;Minería;#74746c
12;Valparaíso;Contenidos creativos;Empresa;Retail;#544c7c
12;Valparaíso;Contenidos creativos;Empresa;Salud;#b7b7af
12;Valparaíso;Contenidos creativos;Empresa;Otros;#a5a29a
12;Valparaíso;Contenidos creativos;Empresa;Otros;#a5a29a
20;Valparaíso;Servicios creativos;Empresa;Educación;#705abb
21;Valparaíso;Servicios creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
32;Valparaíso;Experiencias creativas;Profesional indep.;Ciencia y tecnología;#62cca5
52;Valparaíso;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
