v362_id;region;cadena_productiva;tipo_empresa;tecnologias;nivel_adopcion;color_tecnologias
30;Arica;Contenidos creativos;Empresa;software_especializado;LENTO ADOPTANTE;#96a5c3
72;Arica;Servicios creativos;Empresa;impresion_3d;LENTO ADOPTANTE;#705abb
72;Arica;Servicios creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
72;Arica;Servicios creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
97;Arica;Experiencias creativas;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
97;Arica;Experiencias creativas;Empresa;impresion_3d;EARLY ADOPTER;#705abb
97;Arica;Experiencias creativas;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
97;Arica;Experiencias creativas;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
97;Arica;Experiencias creativas;Empresa;software_de_3d;INNOVADOR;#b7b7af
54;Antofagasta;Servicios creativos;Profesional indep.;software_especializado;LENTO ADOPTANTE;#96a5c3
73;Antofagasta;Experiencias creativas;Empresa;software_de_3d;INNOVADOR;#b7b7af
73;Antofagasta;Experiencias creativas;Empresa;software_especializado;INNOVADOR;#96a5c3
73;Antofagasta;Experiencias creativas;Empresa;sonido_inmersivo;INNOVADOR;#070708
138;Atacama;Bienes creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
138;Atacama;Bienes creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
138;Atacama;Bienes creativos;Empresa;mocap_motion_capture;EARLY ADOPTER;#737daa
138;Atacama;Bienes creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
138;Atacama;Bienes creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
138;Atacama;Bienes creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
138;Atacama;Bienes creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
138;Atacama;Bienes creativos;Empresa;sonido_inmersivo;INNOVADOR;#070708
138;Atacama;Bienes creativos;Empresa;vfx_visual_effects;INNOVADOR;#546c74
8;Valparaíso;Bienes creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
11;Valparaíso;Servicios creativos;Empresa;impresion_3d;INNOVADOR;#705abb
11;Valparaíso;Servicios creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
11;Valparaíso;Servicios creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
12;Valparaíso;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
12;Valparaíso;Contenidos creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
12;Valparaíso;Contenidos creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
12;Valparaíso;Contenidos creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
12;Valparaíso;Contenidos creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
12;Valparaíso;Contenidos creativos;Empresa;vfx_visual_effects;EARLY ADOPTER;#546c74
20;Valparaíso;Servicios creativos;Empresa;creacion_de_entornos_virtuales;LENTO ADOPTANTE;#62cca5
20;Valparaíso;Servicios creativos;Empresa;impresion_3d;LENTO ADOPTANTE;#705abb
20;Valparaíso;Servicios creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
20;Valparaíso;Servicios creativos;Empresa;realidad_aumentada_ar;EARLY ADOPTER;#e4e2d4
20;Valparaíso;Servicios creativos;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
20;Valparaíso;Servicios creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
20;Valparaíso;Servicios creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
21;Valparaíso;Servicios creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
21;Valparaíso;Servicios creativos;Empresa;impresion_3d;EARLY ADOPTER;#705abb
21;Valparaíso;Servicios creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
21;Valparaíso;Servicios creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
32;Valparaíso;Experiencias creativas;Profesional indep.;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
32;Valparaíso;Experiencias creativas;Profesional indep.;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
32;Valparaíso;Experiencias creativas;Profesional indep.;software_de_3d;EARLY ADOPTER;#b7b7af
32;Valparaíso;Experiencias creativas;Profesional indep.;sonido_inmersivo;EARLY ADOPTER;#070708
32;Valparaíso;Experiencias creativas;Profesional indep.;vfx_visual_effects;LENTO ADOPTANTE;#546c74
52;Valparaíso;Experiencias creativas;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
52;Valparaíso;Experiencias creativas;Empresa;impresion_3d;EARLY ADOPTER;#705abb
52;Valparaíso;Experiencias creativas;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
52;Valparaíso;Experiencias creativas;Empresa;mocap_motion_capture;INNOVADOR;#737daa
52;Valparaíso;Experiencias creativas;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
52;Valparaíso;Experiencias creativas;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
52;Valparaíso;Experiencias creativas;Empresa;Otros;INNOVADOR;#a5a29a
52;Valparaíso;Experiencias creativas;Empresa;software_de_3d;INNOVADOR;#b7b7af
52;Valparaíso;Experiencias creativas;Empresa;software_especializado;INNOVADOR;#96a5c3
52;Valparaíso;Experiencias creativas;Empresa;sonido_inmersivo;INNOVADOR;#070708
