id;region;cadena_productiva;tipo_empresa;tendencias;color_tendencias
30;Arica;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
72;Arica;Servicios creativos;Empresa;Computación o programación creativa;#705abb
72;Arica;Servicios creativos;Empresa;Robótica;#546c74
72;Arica;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
97;Arica;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
97;Arica;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
97;Arica;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
54;Antofagasta;Servicios creativos;Profesional indep.;Contenido para redes sociales;#62cca5
54;Antofagasta;Servicios creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
54;Antofagasta;Servicios creativos;Profesional indep.;Nuevos medios;#070708
54;Antofagasta;Servicios creativos;Profesional indep.;Servicios creativos;#cbd2f6
73;Antofagasta;Experiencias creativas;Empresa;Música;#96a5c3
138;Atacama;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
138;Atacama;Bienes creativos;Empresa;Música;#96a5c3
138;Atacama;Bienes creativos;Empresa;Nuevos medios;#070708
8;Valparaíso;Bienes creativos;Empresa;Ninguna de las anteriores;#a5a29a
20;Valparaíso;Servicios creativos;Empresa;Computación o programación creativa;#705abb
20;Valparaíso;Servicios creativos;Empresa;Contenido para redes sociales;#62cca5
20;Valparaíso;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
20;Valparaíso;Servicios creativos;Empresa;Nuevos medios;#070708
20;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
21;Valparaíso;Servicios creativos;Empresa;Computación o programación creativa;#705abb
21;Valparaíso;Servicios creativos;Empresa;Nuevos medios;#070708
21;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
32;Valparaíso;Experiencias creativas;Profesional indep.;Nuevos medios;#070708
52;Valparaíso;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
53;Valparaíso;Servicios creativos;Empresa;Data science;#737daa
68;Valparaíso;Contenidos creativos;Profesional indep.;Contenido para redes sociales;#62cca5
68;Valparaíso;Contenidos creativos;Profesional indep.;Servicios creativos;#cbd2f6
69;Valparaíso;Bienes creativos;Profesional indep.;Servicios creativos;#cbd2f6
71;Valparaíso;Servicios creativos;Empresa;Contenido para redes sociales;#62cca5
71;Valparaíso;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
