v362_id;region;tipo_empresa;cadena_productiva;agrupacion_tecnocreativa;genero;asociatividad;vinculos_educativos;tamano_empresa_num_trab;rango_ventas;exportaciones;exportaciones_porc_ingreso;internacionalizacion;mercados_intern;color_genero;color_tipo_empresa;color_cadena_productiva;color_agrupacion_tecnocreativa;color_asociatividad;color_vinculos_educativos;color_tamano_empresa_num_trab;color_rango_ventas;color_exportaciones;color_exportaciones_porc_ingreso;color_internacionalizacion
30;Arica;Empresa;Contenidos creativos;Contenido para redes sociales;Mujer;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;Ninguno;#705abb;#74746c;#705abb;#070708;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#070708
72;Arica;Empresa;Servicios creativos;Música;Hombre;Sí;No;1-5;Menos de 10.000 USD;Sí;0-20%;Sí, pero aún no se han concretado operaciones internacionales;;#62cca5;#74746c;#737daa;#705abb;#62cca5;#737daa;#705abb;#070708;#62cca5;#070708;#705abb
97;Arica;Empresa;Experiencias creativas;Nuevos medios;Hombre;Sí;Sí;1-5;Entre 10.000 y 50.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#9a7cbb;#9a7cbb;#62cca5;#62cca5;#705abb;#705abb;#62cca5;#070708;#070708
54;Antofagasta;Profesional indep.;Servicios creativos;Editorial (medios digitales);Hombre;;;1-5;;;NA%;;;#62cca5;#544c7c;#737daa;#737daa;;;#705abb;;;;
73;Antofagasta;Empresa;Experiencias creativas;Música;Hombre;No;Sí;Más de 50;Entre 50.000 y 100.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#9a7cbb;#705abb;#737daa;#62cca5;#cbd2d3;#9a7cbb;#737daa;#070708;#9a7cbb
138;Atacama;Empresa;Bienes creativos;Servicios creativos;Hombre;No;No;11-50;Entre 50.000 y 100.000 USD;Sí;0-20%;Sí, pero aún no se han concretado operaciones internacionales;;#62cca5;#74746c;#070708;#cbd2d3;#737daa;#737daa;#737daa;#9a7cbb;#62cca5;#070708;#705abb
8;Valparaíso;Empresa;Bienes creativos;Computación o programación creativa;Mujer;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#74746c;#070708;#a5a29a;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
11;Valparaíso;Empresa;Servicios creativos;Computación o programación creativa;Hombre;No;No;1-5;Entre 50.000 y 100.000 USD;Sí;0-20%;Sí, en uno;Estados Unidos;#62cca5;#74746c;#737daa;#a5a29a;#737daa;#737daa;#705abb;#9a7cbb;#62cca5;#070708;#737daa
12;Valparaíso;Empresa;Contenidos creativos;Computación o programación creativa;Hombre;Sí;No;11-50;Más de 100.000 USD;Sí;21-40%;Sí, en más de uno;Perú y España;#62cca5;#74746c;#705abb;#a5a29a;#62cca5;#737daa;#737daa;#737daa;#62cca5;#705abb;#cbd2d3
20;Valparaíso;Empresa;Servicios creativos;Computación o programación creativa;Mujer;Sí;Sí;Más de 50;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#737daa;#a5a29a;#62cca5;#62cca5;#cbd2d3;#070708;#737daa;#070708;#070708
21;Valparaíso;Empresa;Servicios creativos;Computación o programación creativa;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#737daa;#a5a29a;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#070708
32;Valparaíso;Profesional indep.;Experiencias creativas;Cultura y entretenimiento;Mujer;No;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#544c7c;#9a7cbb;#62cca5;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
52;Valparaíso;Empresa;Experiencias creativas;Cultura y entretenimiento;Mujer;Sí;Sí;6-10;Entre 10.000 y 50.000 USD;Sí;0-20%;Sí, en más de uno;;#705abb;#74746c;#9a7cbb;#62cca5;#62cca5;#62cca5;#9a7cbb;#705abb;#62cca5;#070708;#cbd2d3
53;Valparaíso;Empresa;Servicios creativos;Data science;Hombre;Sí;Sí;6-10;Entre 10.000 y 50.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#737daa;#546c74;#62cca5;#62cca5;#9a7cbb;#705abb;#62cca5;#070708;#070708
68;Valparaíso;Profesional indep.;Contenidos creativos;Música;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#705abb;#705abb;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
69;Valparaíso;Profesional indep.;Bienes creativos;Música;Hombre;Sí;No;0;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#544c7c;#070708;#705abb;#62cca5;#737daa;#070708;#070708;#737daa;#070708;#070708
71;Valparaíso;Empresa;Servicios creativos;Música;Hombre;Sí;No;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#737daa;#705abb;#62cca5;#737daa;#705abb;#070708;#737daa;#070708;#070708
74;Valparaíso;Empresa;Contenidos creativos;Ninguna de las anteriores;Hombre;No;No;11-50;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#705abb;#e4e2d4;#737daa;#737daa;#737daa;#070708;#737daa;#070708;#9a7cbb
84;Valparaíso;Empresa;Contenidos creativos;Nuevos medios;Mujer;Sí;Sí;6-10;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#705abb;#9a7cbb;#62cca5;#62cca5;#9a7cbb;#070708;#737daa;#070708;#070708
92;Valparaíso;Empresa;Servicios creativos;Nuevos medios;Mujer;Sí;Sí;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#737daa;#9a7cbb;#62cca5;#62cca5;#705abb;#070708;#737daa;#070708;#070708
