region_resumida,cadena_productiva,agrupacion_tecnocreativa,genero,asociatividad,vinculos_educativos,tamano_empresa_num_trab,rango_ventas,exportaciones,internacionalizacion,mercados_intern
Arica,Contenidos creativos,Contenido para redes sociales,Mujer,No,Sí,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",Ninguno
Arica,Servicios creativos,Música,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,Sí,"Sí, pero aún no se han concretado operaciones internacionales",
Arica,Experiencias creativas,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,"No, pero está en las prioridades actuales",
Antofagasta,Servicios creativos,Editorial (medios digitales),Hombre,,,1-5,,,,
Antofagasta,Experiencias creativas,Música,Hombre,No,Sí,Más de 50,Entre 50.000 y 100.000 USD,No,No y no está en los planes actuales,
Atacama,Bienes creativos,Servicios creativos,Hombre,No,No,11-50,Entre 50.000 y 100.000 USD,Sí,"Sí, pero aún no se han concretado operaciones internacionales",
Valparaíso,Bienes creativos,Computación o programación creativa,Mujer,No,Sí,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Valparaíso,Servicios creativos,Computación o programación creativa,Hombre,No,No,1-5,Entre 50.000 y 100.000 USD,Sí,"Sí, en uno",Estados Unidos
Valparaíso,Contenidos creativos,Computación o programación creativa,Hombre,Sí (especificar cuál),No,11-50,Más de 100.000 USD,Sí,"Sí, en más de uno",Perú y España
Valparaíso,Servicios creativos,Computación o programación creativa,Mujer,Sí (especificar cuál),Sí,Más de 50,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Valparaíso,Servicios creativos,Computación o programación creativa,Hombre,No,No,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Valparaíso,Experiencias creativas,Cultura y entretenimiento,Mujer,No,No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Valparaíso,Experiencias creativas,Cultura y entretenimiento,Mujer,Sí (especificar cuál),Sí,6-10,Entre 10.000 y 50.000 USD,Sí,"Sí, en más de uno",
Valparaíso,Servicios creativos,Data science,Hombre,Sí (especificar cuál),Sí,6-10,Entre 10.000 y 50.000 USD,Sí,"No, pero está en las prioridades actuales",
Valparaíso,Contenidos creativos,Música,Hombre,No,No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Valparaíso,Bienes creativos,Música,Hombre,Sí (especificar cuál),No,0,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Valparaíso,Servicios creativos,Música,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Valparaíso,Contenidos creativos,Ninguna de las anteriores,Hombre,No,No,11-50,Menos de 10.000 USD,No,No y no está en los planes actuales,
Valparaíso,Contenidos creativos,Nuevos medios,Mujer,Sí (especificar cuál),Sí,6-10,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Valparaíso,Servicios creativos,Nuevos medios,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Valparaíso,Contenidos creativos,Nuevos medios,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,"Sí, pero aún no se han concretado operaciones internacionales",
Valparaíso,Bienes creativos,Servicios creativos,Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,"Sí, en uno",USA
Valparaíso,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Valparaíso,Servicios creativos,Servicios creativos,Hombre,No,No,0,Entre 50.000 y 100.000 USD,Sí,"Sí, en uno",Canada
Valparaíso,Bienes creativos,Servicios creativos,Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,"No, pero está en las prioridades actuales",Usa
Valparaíso,Bienes creativos,Servicios creativos,Otro (especifique) - gay,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,"Sí, en más de uno",Festivales : Cannes Inmersive/ Dok Leipzig / IDFA / FIDBA
Valparaíso,Bienes creativos,Servicios creativos,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Valparaíso,Servicios creativos,Servicios creativos,Hombre,Sí (especificar cuál),Sí,11-50,Más de 100.000 USD,Sí,No y no está en los planes actuales,
Valparaíso,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
Valparaíso,,,Hombre,,,,,,,
Valparaíso,,,Hombre,,,,,,,
Valparaíso,,,Mujer,,,,,,,
Valparaíso,,,Mujer,,,,,,,
Valparaíso,,,Mujer,,,,,,,
RM,Servicios creativos,Computación o programación creativa,Hombre,,,1-5,,,,
